title	year	budget	revenue	release_date	runtime	vote_average	imdb_id	genre
S Darko	2009	4000000	4100000	2009-04-28	103	4.6	tt1231277	Crime-Mystery-Science Fiction-Thriller
Swat: Firefight	2011	NULL	NULL	2011-03-01	89	5.5	tt1621429	Action-Crime-Thriller
Saam gwok dzi gin lung se gap	2008	NULL	NULL	2008-04-03	102	6.6	tt0882978	Action-Drama-History
Saat po long	2005	NULL	NULL	2005-11-18	93	7.2	tt0478024	Action-Crime-Drama-Thriller
Saathiya	2002	NULL	NULL	2002-12-20	137	7	tt0330843	Drama-Romance-Foreign
Saawariya	2007	NULL	NULL	2007-11-07	142	5.3	tt0758053	Drama-Eastern-Musical-Romance-Foreign
Sabotage	1936	NULL	NULL	1937-01-11	76	6.8	tt0028212	Mystery-Thriller
Saboteur	1942	NULL	NULL	1942-04-24	108	5.3	tt0035279	Action-Mystery-Suspense-Thriller
Sabrina	1954	NULL	NULL	1954-09-09	113	7.2	tt0047437	Comedy-Drama-Romance
Sacrifice	2010	10000000	NULL	2010-12-17	128	6.8	tt1726738	Action-Drama-History-Thriller
Saddest Music in the World The	2003	NULL	NULL	2003-09-17	100	5.5	tt0366996	Comedy-Drama-Fantasy-Music-Indie
Sade	2000	NULL	NULL	2000-08-30	100	8.5	tt0217019	Crime-Drama-Foreign
Safari	2009	NULL	NULL	2009-04-01	102	5.3	tt1328642	Adventure-Comedy
Safe	2012	27000000	NULL	2012-04-16	94	6.3	tt1656190	Action-Crime-Thriller
Safe House	2012	85000000	208076205	2012-02-10	115	6	tt1599348	Action-Crime-Mystery-Thriller
Safety Not Guaranteed	2012	750000	4007792	2012-06-08	85	6.8	tt1862079	Comedy-Drama-Science Fiction-Romance
Sahara	2005	160000000	202900000	2005-04-08	124	5.7	tt0318649	Action-Adventure-Comedy-Drama-Mystery
Sai chiu	2006	NULL	NULL	2006-02-16	93	5	tt0757139	Drama-Fantasy-Mystery-Science Fiction-Thriller-Foreign
Saigo no bansan	2005	NULL	NULL	2005-02-12	92	6.5	tt0470419	Documentary-Drama-Horror-Mystery-Foreign
Shane	1953	3100000	20000000	1953-04-23	118	7.1	tt0046303	Action-Adventure-Drama-Western
Saint The	1997	68000000	NULL	1997-04-03	116	6.4	tt0120053	Action-Science Fiction-Romance
