title	year	budget	revenue	release_date	runtime	vote_average	imdb_id	genre
At the Earths Core	1976	NULL	NULL	1976-06-30	89	5	tt0074157	Adventure-Fantasy-Science Fiction
Adaptation	2002	19000000	32801173	2002-12-06	114	7.3	tt0268126	Comedy-Crime-Drama
A Broken Life	2008	NULL	NULL	2008-09-23	97	NULL	tt0937391	Drama-Indie
A Dangerous Man	2010	6500000	NULL	2009-01-01	94	4.9	tt1360767	Action-Adventure-Thriller
A Dirty Shame	2004	15000000	1914166	2004-09-24	89	5.3	tt0365125	Comedy
A Fei Zheng Chuan	1991	NULL	141864	1990-12-15	91	6.9	tt0101258	Crime-Drama-Romance
A Good Day to Be Black & Sexy	2008	NULL	NULL	2008-12-07	92	3	tt0482517	Drama-Romance-Indie
A Guerra dos Rocha	2008	NULL	NULL	2008-01-01	76	5.5	tt0972378	NULL
A Guide to Recognizing Your Saints	2006	NULL	1695607	2006-09-29	97	7.2	tt0473488	Crime-Drama
A Haunted House	2013	2500000	40041683	2013-01-11	86	5.5	tt2243537	Comedy-Horror
A Home at the End of the World	2004	65000000	1548955	2004-07-23	96	7.3	tt0359423	Drama-Romance
A Life Less Ordinary	1997	NULL	NULL	1997-10-24	103	6	tt0119535	Comedy-Drama-Fantasy-Science Fiction-Thriller-Romance
A Man for All Seasons	1966	NULL	NULL	1966-12-12	120	8.1	tt0060665	Drama-History
A Menina e o Estuprador	1982	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A Mighty Heart	2007	16000000	18928871	2007-05-21	100	6.8	tt0829459	Drama-Thriller-Indie
A Mighty Wind	2003	NULL	NULL	2003-04-16	91	6	tt0310281	Comedy-Music
Ameera	2014	NULL	NULL	2014-04-11	96	9	tt3717186	Action-Thriller
American Dreams in China	2013	NULL	NULL	2013-05-18	112	7	tt2278392	Drama
A Queda	1978	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A vizsga	2009	NULL	NULL	2009-06-19	101	6.4	tt1258197	Mystery-Thriller
A Walk In The Clouds	1995	NULL	NULL	1995-05-27	102	6.5	tt0114887	Drama-Romance
A Walk To Remember	2002	11000000	41227069	2002-01-25	101	6.8	tt0281358	Drama-Romance-Family
ATeam The	2010	110000000	176394723	2010-06-11	117	6.2	tt0429493	Action-Adventure-Comedy-Crime-Thriller
Aadhi Bhagavan	2013	NULL	NULL	2013-02-22	160	NULL	tt1671446	Action
Aaj Ka Arjun	1990	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Aaja Nachle	2007	NULL	3800000	2007-11-30	146	9.5	tt0986213	Drama-Romance-Foreign
Aaltra	2004	NULL	NULL	2004-01-29	92	8	tt0405629	Comedy-Drama-Foreign
Aanslag De	1986	NULL	203781	1986-02-06	124	5.7	tt0090576	Drama-History-Foreign
Aarakshan	2011	NULL	NULL	2011-08-12	164	5.7	tt1848771	Drama-Foreign
Aashiqui	1990	NULL	NULL	1990-07-23	152	10	tt0149573	Drama-Romance-Foreign
Aau chin	1999	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Aazaan	2011	NULL	NULL	2011-10-14	NULL	NULL	tt2033947	Thriller-Foreign
Aballay el hombre sin miedo	2010	NULL	NULL	2010-11-10	100	4	tt1554426	Drama-Western
Abandoned The	2006	NULL	NULL	2006-09-11	99	5.5	tt0475937	Horror-Thriller-Foreign
Abbott and Costello Meet the Invisible Man	1951	NULL	NULL	1951-01-01	82	6.5	tt0043255	Comedy-Horror
ABCs of Death The	2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Abducted: The Carlina White Story	2012	NULL	NULL	2012-10-06	90	NULL	tt2212658	Drama
Abduction	2011	35000000	82087155	2011-09-23	106	5.3	tt1600195	Action-Drama-Mystery-Thriller
About A Boy	2002	27000000	129000000	2002-05-17	101	6.3	tt0276751	Comedy-Drama-Romance
About Love	2005	NULL	NULL	2005-04-12	102	8.5	tt0456821	Romance
About Schmidt	2002	30000000	105834556	2002-12-13	125	6.5	tt0257360	Comedy-Drama
About Sunny	2011	NULL	NULL	2011-09-09	103	NULL	tt1198199	NULL
Above the Law	1988	7500000	NULL	1988-04-08	99	6.2	tt0094602	Action-Adventure-Drama-Thriller
Abraham Lincoln: Vampire Hunter	2012	69000000	112265139	2012-06-22	94	5.5	tt1611224	Action-Fantasy-Horror
Absence of Malice	1981	NULL	NULL	1981-12-18	116	6.4	tt0081974	Drama-Thriller-Romance
Absentia	2011	70000	NULL	2011-03-03	92	6.6	tt1610996	Horror-Thriller
Absolute Power	1997	50000000	50068310	1997-02-13	121	6.5	tt0118548	Crime-Drama-Suspense-Thriller
Abyss The	1989	70000000	90000098	1989-08-08	139	6.6	tt0096754	Action-Adventure-Science Fiction-Thriller
Accepted	2006	23000000	38505009	2006-08-18	93	6	tt0384793	Comedy
Accident	1967	NULL	NULL	1967-02-05	105	7.3	tt0061328	Drama-Romance
Accidental Tourist The	1988	NULL	NULL	1988-12-23	121	5.9	tt0094606	Drama-Romance
Accused The	1988	NULL	NULL	1988-10-14	111	5.1	tt0094608	Drama
Ace Of Hearts	2008	NULL	NULL	2008-05-06	100	6	tt1032746	Drama-Family
Ace Ventura Jr: Pet Detective	2009	NULL	NULL	2009-03-03	93	3.6	tt0844029	Comedy-Family
Ace Ventura: Pet Detective	1994	NULL	NULL	1994-02-04	86	6.2	tt0109040	Comedy-Mystery
Ace Ventura: When Nature Calls	1995	NULL	NULL	1995-11-10	90	6.1	tt0112281	Comedy
Across the Hall	2009	NULL	NULL	2009-10-30	93	6.8	tt1176724	Thriller-Romance
Across the Line: The Exodus of Charlie Wright	2010	NULL	NULL	2010-12-29	94	7.4	tt1663193	Action-Crime-Drama-Thriller
Across the Pacific	1942	NULL	NULL	1942-09-05	97	6.7	tt0034428	Adventure-Drama-Romance-War
Across The Universe	2007	NULL	NULL	2007-09-14	133	6.3	tt0445922	Adventure-Drama-Music-Romance
Act of Dishonour	2010	NULL	NULL	2010-06-01	90	NULL	tt1670620	NULL
Act of Valor	2012	12000000	64149755	2012-02-24	110	6.1	tt1591479	Action-Thriller-War
Action	1980	NULL	NULL	1980-01-04	121	NULL	tt0078732	NULL
Action Boys	2008	NULL	NULL	2008-08-28	NULL	5	tt1441233	NULL
Adam	2009	NULL	2277396	2009-07-29	99	7.3	tt1185836	Drama-Romance
Adieu au TNS	1998	NULL	NULL	1998-01-01	7	NULL	tt2657486	NULL
Adjustment Bureau The	2011	51000000	125962137	2011-03-04	106	6.2	tt1385826	Fantasy-Thriller-Romance
Admiral	2008	2000000	38135878	2008-06-06	123	7.5	tt1101026	Action-Drama-History-War
Adulthood	2008	NULL	NULL	2008-06-16	99	6.9	tt1126596	Drama-Indie-Foreign
Adventureland	2009	9500000	17164377	2009-04-03	107	6.2	tt1091722	Comedy
Adventures in Babysitting	1987	NULL	34368475	1987-07-01	102	7.2	tt0092513	Comedy-Family
Adventures Of Baron Munchausen The	1988	NULL	NULL	1988-12-07	126	7.1	tt0096764	Action-Adventure-Comedy-Fantasy
Adventures of Huck Finn The	1993	NULL	NULL	1993-04-02	108	6.3	tt0106223	Action-Adventure-Drama-Family
Adventures of Priscilla Queen of the Desert The	1994	NULL	NULL	1994-08-10	104	7	tt0109045	Comedy-Drama-Musical
Adventures of Sherlock Holmes The	1939	NULL	NULL	1939-09-01	85	7	tt0031022	Crime-Drama-Mystery-Thriller
Adventures of Tintin: The Secret of the Unicorn The	2011	130000000	371940071	2011-12-20	107	6.4	tt0983193	Action-Adventure-Animation-Mystery-Family
Aein	2005	NULL	NULL	2005-12-08	98	6	tt0492533	Romance
Aeon Flux	2005	62000000	52000000	2005-12-01	93	5.6	tt0402022	Science Fiction
Affliction	1997	NULL	NULL	1997-01-01	114	3.7	tt0118564	Drama
Aflatoon	1997	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Afonya	1975	NULL	NULL	1975-10-13	92	7.8	tt0072613	Comedy-Foreign
Africa addio	1966	NULL	NULL	1966-02-11	122	NULL	tt0060073	Documentary
Africa: The Serengeti	1994	NULL	NULL	1994-04-01	40	8	tt0109049	Documentary-Short
African Queen The	1951	1300000	10750000	1951-12-23	105	6.9	tt0043265	Action-Adventure-Drama-History-Romance
After Sex	2007	3200000	NULL	2007-01-01	78	5.9	tt0465375	Comedy-Romance
After The Sunset	2004	60000000	61347797	2004-11-12	97	6	tt0367479	Action-Comedy-Crime-Drama
After the Waterfall	2010	NULL	NULL	2010-11-04	91	NULL	tt1510905	Drama
Afterlife	2009	4500000	3606395	2009-11-07	104	5.4	tt0838247	Drama-Horror-Mystery-Thriller
Afterschool	2008	NULL	NULL	2008-05-18	122	6.3	tt1224366	Drama-Mystery
Aftershock: Earthquake in New York	1999	NULL	NULL	1999-11-19	170	6.7	tt0186804	Action-Disaster-Drama-Thriller
Afuro zamurai  Yomigaeri	2009	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Ago	1996	NULL	NULL	1996-11-16	102	8.8	tt0296492	Drama
Against The Current	2009	3000000	NULL	2009-01-18	98	4.8	tt1131727	Drama-Indie
Against The Dark	2009	9000000	NULL	2009-01-01	94	3.3	tt1194271	Action-Horror-Science Fiction-Thriller
Age of Consent	1969	NULL	NULL	1969-05-13	108	6.5	tt0063991	Comedy-Drama-Romance
Age of Heroes	2011	NULL	NULL	2011-05-20	90	5.5	tt1590950	Action-Drama-Thriller-War
Age of Innocence The	1993	NULL	NULL	1993-09-17	139	6.8	tt0106226	Drama-Romance
Age Of Stupid The	2009	NULL	NULL	2009-09-21	92	3.3	tt1300563	Documentary-History-War
Age Of The Dragons	2011	5000000	NULL	2011-05-13	91	5.1	tt1594917	Action-Fantasy-Science Fiction-Thriller
Agent Cody Banks	2003	28000000	58795814	2003-03-14	102	5.1	tt0313911	Action-Adventure-Comedy-Family
Agent Ranjid rettet die Welt	2012	NULL	NULL	2012-10-16	NULL	4.3	tt2219188	Comedy
Agent Vinod	2012	NULL	NULL	2012-03-23	157	6.6	tt1395025	Action-Foreign
Aggar	2007	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Agneepath	2012	11097000	49028000	2012-01-25	167	7.3	tt1849718	Action-Crime-Drama-Musical
Agora	2009	70000000	38422082	2009-10-09	127	6.4	tt1186830	Adventure-Drama-History
Aha Naa Pellanta	2011	NULL	NULL	2011-03-02	NULL	7	tt2071405	NULL
Ai no mukidashi	2008	NULL	NULL	2008-11-29	237	7.5	tt1128075	Action-Comedy-Drama-Romance
Ai Weiwei: Never Sorry	2012	NULL	181107	2012-07-27	91	7.3	tt1845773	Documentary
Air Force One	1987	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Air I Breathe The	2007	NULL	NULL	2007-12-13	95	6.6	tt0485851	Action-Crime-Drama-Thriller
Air Terjun Pengantin	2009	NULL	NULL	2009-12-03	NULL	5	NULL	Drama-Horror-Thriller-Romance
Aita	2010	NULL	NULL	2010-11-12	85	NULL	tt1274636	NULL
Aiyyaa	2012	NULL	NULL	2012-10-12	146	6.5	tt2255934	Comedy-Romance
Ajami	2009	NULL	NULL	2009-09-17	120	7.9	tt1077262	Crime-Drama-Indie-Foreign
Ajeossi	2010	NULL	43000000	2010-08-04	119	7.8	tt1527788	Action-Adventure-Crime-Drama-Thriller
Akahige	1965	NULL	NULL	1965-03-04	185	8.7	tt0058888	Drama
Akasmikam	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Akeelah And The Bee	2006	8000000	18948425	2006-04-28	112	6.8	tt0437800	Drama
Akele Hum Akele Tum	1995	NULL	NULL	1995-11-30	160	9	tt0112313	Drama-Foreign
Akira	1988	10000000	NULL	1988-07-16	124	7.6	tt0094625	Animation
Ako	1965	NULL	NULL	1965-01-01	29	NULL	tt1090178	NULL
Al otro lado	2004	NULL	NULL	2004-03-09	90	7	tt0419424	Drama-Family
Altoobi: Riteon Too Beiseu	2012	NULL	NULL	2012-08-14	113	6.7	tt2253742	Action-Drama-Romance
Aladdin	1992	28000000	504050219	1992-11-25	90	6.9	tt0103639	Adventure-Animation-Comedy-Fantasy-Musical-Romance-Family
Aladdin and the Death Lamp	2012	NULL	NULL	2012-09-15	86	NULL	tt2415710	Adventure-Fantasy-Horror
Aladdin And The King Of Thieves	1995	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Aladin	2009	NULL	NULL	2009-10-29	132	6.7	tt1227762	Drama-Science Fiction-Romance-Foreign
Alamar	2010	NULL	NULL	2009-12-16	73	NULL	tt1502396	Documentary-Drama-Family-Foreign
Alambrista	1977	NULL	NULL	1977-10-16	110	NULL	tt0075654	Drama
Alatriste	2006	NULL	NULL	2006-09-01	145	6.2	tt0395119	Action
Albino Alligator	1997	NULL	NULL	1996-09-09	97	6	tt0115495	Drama-Suspense-Thriller
Aleksandra	2007	NULL	NULL	2007-09-26	95	NULL	tt1034427	Drama-Foreign
Alex Cross	2012	45000000	30353232	2012-10-18	101	5.5	tt1712170	Action-Crime-Mystery-Thriller
Alexander	2004	155000000	167298192	2004-11-24	175	5.9	tt0346491	Action-Adventure-Drama-History-Romance-War
Alexis Zorbas	1964	NULL	NULL	1964-12-17	142	6.5	tt0057831	Drama
Alfie	2004	40000000	13395939	2004-11-05	103	5.3	tt0375173	Comedy-Drama-Romance
Ali	2001	107000000	87713825	2001-12-11	157	6.8	tt0248667	Drama
Ali Baba And The Forty Thieves	1944	NULL	NULL	1944-01-14	87	6.5	tt0036591	Action-Adventure-Fantasy-Romance
Ali G Indahouse	2002	NULL	NULL	2002-03-22	85	6.7	tt0284837	Comedy
Alibi The	2006	NULL	NULL	2006-01-12	90	5.4	tt0409681	Action-Comedy-Crime
Alice In Den Stadten	1974	NULL	NULL	1974-05-17	110	6.7	tt0069687	Drama-Foreign-Road Movie
Alice In Wonderland	1951	3000000	572000000	1951-07-26	75	6.3	tt0043274	Animation-Family
Alice In Wonderland	2010	200000000	1024299904	2010-03-04	108	5.9	tt1014759	Fantasy
Alien	1979	11000000	104931801	1979-05-25	117	7.1	tt0078748	Action-Horror-Science Fiction-Thriller
Alien 3	1992	50000000	159773545	1992-05-22	114	5.9	tt0103644	Action-Horror-Science Fiction
Alien Autopsy	2006	NULL	NULL	2006-04-07	95	6.9	tt0466664	Comedy-Science Fiction
Alien from LA	1988	NULL	NULL	1988-01-01	87	2.3	tt0092532	Action-Science Fiction-Family
Alien Hunter	2003	10000000	NULL	2003-07-19	92	5.6	tt0327409	Action-Science Fiction-Thriller
Alien Nation	1988	NULL	NULL	1988-10-07	91	4.8	tt0094631	Crime-Science Fiction-Thriller
Alien Raiders	2008	NULL	NULL	2008-09-21	85	4.3	tt0996979	Horror-Science Fiction-Thriller
Alien Trespass	2009	NULL	NULL	2009-04-03	90	6.1	tt1122836	Action-Adventure-Comedy-Science Fiction
Alien vs Hunter	2007	NULL	NULL	2007-12-18	85	4	tt1094162	Action-Horror-Science Fiction
Alien vs Ninja	2010	NULL	NULL	2010-07-30	81	3.8	tt1592503	Action-Horror-Science Fiction-Thriller
Alien: Resurrection	1997	70000000	162000000	1997-11-26	109	5.9	tt0118583	Action-Horror-Science Fiction
Aliens	1986	18500000	131060248	1986-07-18	137	7.3	tt0090605	Action-Horror-Science Fiction-Thriller
Aliens In The Attic	2009	NULL	NULL	2009-07-31	86	5.6	tt0775552	Adventure-Comedy-Fantasy-Science Fiction-Family
Aliens Of The Deep	2005	NULL	NULL	2005-01-21	47	6.1	tt0417415	Action-Documentary-Science Fiction
Aliens vs Predator: Requiem	2007	40000000	41797066	2007-12-25	94	5.3	tt0758730	Action-Horror-Science Fiction-Thriller
Alive	1993	32000000	36733909	1993-01-15	120	6.4	tt0106246	Action-Drama-Thriller
All About Anna	2005	NULL	NULL	2005-11-24	91	3	tt0349080	Comedy-Drama-Erotic-Romance
All About Steve	2009	15000000	40105542	2009-09-04	99	5.3	tt0881891	Comedy
All Good Things	2010	NULL	NULL	2010-12-03	101	5.9	tt1175709	Crime-Drama-Mystery-Thriller-Romance
All Mine to Give	1957	NULL	NULL	1957-11-13	103	6.8	tt0050112	Drama-Romance-Family
All or Nothing	2002	9000000	NULL	2002-05-17	128	9	tt0286261	Comedy-Drama
All Quiet On The Western Front	1930	1250000	NULL	1930-04-21	133	7.7	tt0020629	Action-Drama-History-War
All Roads Lead Home	2008	NULL	NULL	2008-01-01	108	NULL	tt0821810	Drama-Family
All That Heaven Allows	1955	NULL	NULL	1955-12-25	89	7.6	tt0047811	Drama-Romance
All That Jazz	1979	NULL	37823676	1979-12-20	123	8.4	tt0078754	Drama-Music
All The Boys Love Mandy Lane	2006	6500000	NULL	2006-09-09	90	6.1	tt0490076	Horror-Mystery-Thriller
All Things Fall Apart	2011	NULL	NULL	2011-03-05	106	6.3	tt1606390	Drama-Sport
All Through The Night	1942	NULL	NULL	NULL	NULL	NULL	NULL	NULL
All You Got	2004	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Alle Anderen	2009	NULL	NULL	2009-06-26	119	7	tt1204773	Drama-Romance-Foreign
Alle tijd	2011	NULL	NULL	2011-04-14	NULL	7	tt1668189	Drama
Allegro non troppo	1976	NULL	NULL	1976-03-12	85	5.8	tt0074121	Animation-Comedy-Drama-Fantasy-Science Fiction
Alles Is Liefde	2007	NULL	NULL	2007-10-10	110	7.3	tt0468644	Comedy-Romance
Allez Eddy	2012	NULL	NULL	2012-03-28	100	8	tt1817088	NULL
Almanya  Willkommen in Deutschland	2011	NULL	NULL	2011-10-12	101	6.8	tt1630027	Comedy-Drama
Almighty Thor	2011	NULL	NULL	2011-05-07	88	2	tt1792794	Action-Adventure-Fantasy-Science Fiction
Almost Angels	1962	NULL	NULL	1962-09-26	93	NULL	tt0055740	NULL
Almost You	1985	NULL	NULL	1985-03-29	96	5	tt0086876	Comedy-Drama-Romance
Alone	2007	NULL	NULL	2007-03-28	90	6.6	tt0484090	Drama-Horror-Thriller
Alone in the Dark	2005	20000000	8191971	2005-01-28	96	3.9	tt0369226	Action-Fantasy-Horror-Thriller
Alone in the Dark II	2008	4600000	NULL	2008-09-01	88	4	tt0913951	Action-Fantasy-Horror
Alone with Her	2006	1000000	10018	2006-04-28	78	NULL	tt0472259	Crime-Drama-Thriller-Romance-Indie
Along Came a Spider	2001	28000000	70058698	2001-07-11	104	5.7	tt0164334	Action-Crime-Mystery-Thriller
Along Came Polly	2004	42000000	13639253	2004-01-12	90	5.7	tt0343135	Comedy-Romance
Alpha And Omega	2010	20000000	39300000	2010-09-17	88	6.2	tt1213012	Animation-Family
Alphabet Killer The	2008	NULL	NULL	2008-11-07	98	5.4	tt0818165	Crime-Horror-Mystery-Thriller
Already Dead	2007	NULL	NULL	2007-12-11	93	5.5	tt0937347	Action-Crime-Drama-Mystery-Suspense-Thriller
Alter Egos	2012	NULL	NULL	2012-07-20	80	6.5	tt1907614	Comedy
Altered States	1980	15000000	NULL	1980-12-25	102	6.5	tt0080360	Drama-Fantasy-Horror-Science Fiction-Suspense
Alting bliver godt igen	2010	NULL	NULL	2010-01-28	90	7.5	tt1403846	NULL
Altiplano	2009	NULL	NULL	2009-12-03	NULL	1	tt1318022	Drama-Foreign
Altitude	2010	NULL	NULL	2010-10-10	90	4.4	tt1407049	Action-Horror-Science Fiction-Thriller
Alvin And The Chipmunks	2007	60000000	361366633	2007-12-16	92	5.3	tt0952640	Animation-Comedy-Fantasy-Music-Family
Alvin and the Chipmunks: ChipWrecked	2011	75000000	342695435	2011-12-14	87	5.5	tt1615918	Animation-Comedy-Fantasy-Music-Family
Alvin And The Chipmunks: The Squeakquel	2009	70000000	442012000	2009-12-23	88	5.6	tt1231580	Animation-Comedy-Fantasy-Music-Family
Amadeus	1984	18000000	51564280	1984-11-13	160	7	tt0086879	Drama-History-Musical
Amador	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Amanda Knox: Murder On Trial In Italy	2011	NULL	NULL	2011-02-21	87	8.7	tt1783413	Crime-Drama
Amants criminels Les	1999	NULL	NULL	1999-08-18	96	5.7	tt0205735	Horror-Thriller-Romance
Amants du PontNeuf Les	1991	NULL	NULL	1991-10-16	125	6	tt0101318	Drama-Romance-Foreign
Amarcord	1973	NULL	NULL	1973-12-13	123	8.7	tt0071129	Comedy-Drama
Amazing Grace	2006	NULL	NULL	2006-09-16	117	7.6	tt0454776	Drama
Amazing SpiderMan The	2012	215000000	752215857	2012-07-04	136	6.2	tt0948470	Action-Adventure-Fantasy
Amazon Forever	2004	NULL	NULL	2004-10-16	91	5.5	tt0436053	NULL
Ame agaru	1999	3800000	NULL	1999-10-25	91	6.8	tt0181960	Drama-Eastern-Romance
Amelia	2009	40000000	19258519	2009-10-22	111	5.4	tt1129445	Adventure-Drama-Romance
Amen	2002	NULL	NULL	2002-02-13	132	6.1	tt0280653	Drama-History
America	2009	NULL	NULL	2009-01-01	NULL	NULL	tt1347508	Drama
America America	1963	NULL	NULL	1963-12-15	174	8	tt0056825	Drama
American Astronaut The	2001	NULL	NULL	2001-01-01	91	6.3	tt0243759	Action-Comedy-Music-Science Fiction
American Battleship	2012	NULL	NULL	2012-05-15	90	2.8	tt2175927	Action-Science Fiction-Thriller
American Beauty	1999	15000000	356296601	1999-09-15	122	7	tt0169547	Drama
American Gangster	2007	100000000	266465037	2007-11-02	157	6.7	tt0765429	Crime-Drama
American Graffiti	1973	777000	115000000	1973-08-01	110	5.8	tt0069704	Comedy-Drama
American High School	2009	NULL	NULL	2009-04-07	86	3.4	tt1087517	Comedy-Romance
American History X	1998	10000000	23875127	1998-10-30	119	7.4	tt0120586	Drama
American in Paris An	1951	NULL	NULL	1951-10-04	113	7.5	tt0043278	Comedy-Drama-Musical-Music-Romance
American Mary	2012	NULL	NULL	2012-05-31	98	5.8	tt1959332	Horror-Thriller
American Ninja	1985	1000000	NULL	1985-08-30	95	6.1	tt0088708	Action-Adventure
American Ninja 2: The Confrontation	1987	NULL	NULL	1987-05-01	90	4.8	tt0092548	Action-Adventure-Drama
American Ninja 3: Blood Hunt	1989	NULL	NULL	1989-02-24	89	4.5	tt0096804	Action-Adventure-Drama
American Outlaws	2001	35000000	13678913	2001-08-17	94	6.5	tt0244000	Action-Adventure-Comedy-Western
American Pastime	2007	NULL	NULL	2007-05-14	105	6.5	tt0825225	Drama
American Pie	1999	11000000	235483004	1999-07-09	95	6.2	tt0163651	Comedy-Romance
American Pie 2	2001	30000000	287553595	2001-08-06	108	5.9	tt0252866	Comedy-Romance
American Pie 5: The Naked Mile	2006	NULL	NULL	2006-12-21	97	6	tt0808146	Comedy
American Pie Presents Band Camp	2005	10000000	NULL	2005-12-30	94	5.7	tt0436058	Comedy
American Pie Presents: Beta House	2007	NULL	NULL	2007-12-10	88	5.8	tt0974959	Comedy
American Pie Presents: The Book of Love	2009	NULL	NULL	2009-12-04	93	5.6	tt1407050	Comedy
American Psycho	2000	7000000	34266564	2000-04-14	102	6.6	tt0144084	Crime-Drama
American Reunion	2012	50000000	233566407	2012-04-06	113	5.9	tt1605630	Comedy
American Teen	2008	5000000	NULL	2008-07-25	95	6	tt0486259	Documentary
American Translation	2011	NULL	NULL	2011-06-07	109	6	tt1692227	Drama
American Violet	2008	NULL	NULL	2008-01-01	103	6.6	tt1152397	Drama
American Virgin	2009	NULL	NULL	2009-10-03	82	5.6	tt1318044	Comedy
American Wedding	2003	55000000	231449203	2003-07-24	103	6	tt0328828	Comedy-Romance
American Zeitgeist	2006	NULL	NULL	2006-01-01	NULL	NULL	tt0759952	NULL
American The	2010	NULL	NULL	2010-08-16	45	NULL	NULL	NULL
American: The Bill Hicks Story	2009	NULL	90275	2010-04-10	102	6.2	tt1179947	Comedy-Documentary-Foreign
AmericanEast	2007	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Americanization Of Emily The	1964	NULL	NULL	1964-10-27	115	7.5	tt0057840	Comedy-Romance
Americano	2011	NULL	NULL	2011-11-30	90	9	tt1742023	Action-Drama-Foreign
Amina Persa	1977	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Amintiri din epoca de aur	2009	NULL	NULL	2009-09-18	155	9.1	tt1422122	Comedy-History-Foreign
Amish Grace	2010	NULL	NULL	2010-03-28	88	7.8	tt1559025	Drama
Amistad	1997	36000000	74000000	1997-12-03	155	6.2	tt0118607	Drama-History-Mystery
Amityville 2: The Possession	1982	NULL	NULL	1982-09-24	104	7.1	tt0083550	Horror-Thriller
Amityville 3D	1983	NULL	NULL	1983-11-18	105	5.2	tt0085159	Horror-Thriller
Amityville 4: The Evil Escapes	1989	NULL	NULL	1989-05-12	95	NULL	tt0096808	Horror
Amityville 7 : The New Generation	1993	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Amityville Curse The	1990	NULL	NULL	1990-05-07	91	NULL	tt0099030	Horror
Amityville Horror The	1979	NULL	88200000	1979-07-27	117	6.6	tt0078767	Drama-Horror-Thriller
Amityville Horror The	2005	NULL	NULL	2005-04-15	90	5.7	tt0384806	Drama-Horror-Thriller
Amores Possiveis	2001	NULL	NULL	2001-01-22	NULL	10	tt0275915	Drama-Thriller-Foreign
Amors Baller	2011	2800000	NULL	2011-01-01	100	7	tt1695763	Comedy
Amour	2012	8900000	NULL	2012-12-19	127	7.5	tt1602620	Drama-Romance
Amreeka	2009	NULL	NULL	2009-01-17	96	10	tt1190858	Drama-Indie
Amusement	2008	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Amy & Isabelle	2001	NULL	NULL	2001-03-04	100	NULL	tt0264360	NULL
An American Affair	2009	NULL	NULL	2009-01-01	93	6	tt0899138	Drama-Indie
An American Carol	2008	20000000	7000000	2008-10-03	83	6	tt1190617	Comedy-Fantasy
An American Crime	2007	2000000	NULL	2007-12-07	97	7.3	tt0802948	Drama-Indie
An American Werewolf In London	1981	10000000	31973249	1981-08-21	97	6.6	tt0082010	Comedy-Drama-Horror-Thriller
An Education	2009	7500000	NULL	2009-10-30	100	6.8	tt1174732	Drama-Romance
An Inconvenient Truth	2006	1000000	46243000	2006-01-24	100	5.6	tt0497116	Documentary
An Officer and a Gentleman	1982	NULL	129795554	1982-07-28	124	6.3	tt0084434	Drama-Romance
An	2012	NULL	NULL	2012-12-01	94	NULL	tt2102500	Comedy-Romance
Anachnu Lo Levad	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Anaconda	1997	45000000	136885767	1997-04-11	89	5	tt0118615	Action-Adventure-Horror-Thriller
Anaconda 4: Trail Of Blood	2009	NULL	NULL	2009-02-27	89	5.6	tt1150934	Action-Horror-Science Fiction
Anaconda III	2008	NULL	NULL	2008-01-01	91	5.7	tt1137996	Action-Horror-Thriller
Anacondas: The Hunt for the Blood Orchid	2004	NULL	NULL	2004-08-25	97	5.4	tt0366174	Action-Adventure-Horror-Science Fiction-Thriller
Anadolu Kartallari	2011	NULL	NULL	2011-10-28	120	NULL	tt2069715	NULL
Analyze That	2002	NULL	NULL	2002-12-06	96	5.9	tt0289848	Comedy-Crime
Analyze This	1999	80000000	176885658	1999-03-05	103	6.6	tt0122933	Comedy-Crime
Anamika	2008	NULL	NULL	2008-05-02	NULL	NULL	tt0885398	NULL
Anamorph	2007	NULL	NULL	2007-09-21	107	6.5	tt0497323	Mystery-Suspense-Thriller
Anatomy of a Murder	1959	NULL	NULL	1959-07-01	160	6.9	tt0052561	Crime-Drama-Mystery-Thriller
Anchorman: The Legend of Ron Burgundy	2004	26000000	90574188	2004-07-09	94	6.6	tt0357413	Comedy
And Now for Something Completely Different	1971	NULL	NULL	1971-09-28	88	7	tt0066765	Comedy
And Soon the Darkness	2010	NULL	NULL	2010-12-17	99	5.8	tt1391034	Crime-Horror-Mystery-Thriller
And Starring Pancho Villa As Himself	2003	NULL	NULL	2003-09-07	112	NULL	tt0337824	Action-Drama
And Then Came Love	2007	NULL	NULL	2007-01-01	90	NULL	tt0825346	Comedy-Romance
