col_index	release_date	title	production_budget	domestic_gross	worldwide_gross
957	11/5/1999	The Bone Collector	48,000,000	66,488,090	151,463,090
958	10/1/1999	Three Kings	48,000,000	60,652,036	107,752,036
959	1/22/2010	The Tooth Fairy	48,000,000	60,022,256	112,610,386
960	8/17/2001	Rat Race	48,000,000	56,607,223	86,607,223
961	9/2/2007	3:10 to Yuma	48,000,000	53,606,916	71,171,825
962	10/26/2001	K-PAX	48,000,000	50,315,140	50,315,140
963	12/25/2001	Kate and Leopold	48,000,000	47,095,453	70,937,778
964	10/20/2000	Bedazzled	48,000,000	37,879,996	90,376,224
965	6/26/1998	Out of Sight	48,000,000	37,562,568	77,562,568
966	12/14/1984	The Cotton Club	48,000,000	25,928,721	25,928,721
967	1/25/2008	Rambo	47,500,000	42,754,105	112,214,531
968	6/15/1990	Dick Tracy	47,000,000	103,738,726	162,738,726
969	6/14/1996	The Cable Guy	47,000,000	60,240,295	102,825,796
970	10/19/2001	Riding in Cars with Boys	47,000,000	29,781,453	29,781,453
971	1/5/2007	Happily N'Ever After	47,000,000	15,849,032	37,923,818
972	11/27/2002	Solaris	47,000,000	14,970,038	14,970,038
973	6/18/2010	Jonah Hex	47,000,000	10,547,117	11,022,696
974	2/23/1996	Mary Reilly	47,000,000	5,707,094	12,900,000
975	6/20/1997	My Best Friend's Wedding	46,000,000	126,813,153	298,923,419
976	7/20/2001	America's Sweethearts	46,000,000	93,607,673	160,648,493
977	11/22/1996	Star Trek: First Contact	46,000,000	92,027,888	150,000,000
978	5/24/2002	Insomnia	46,000,000	67,263,182	113,622,499
979	9/20/2013	Prisoners	46,000,000	61,002,302	113,402,302
980	7/12/1996	Courage Under Fire	46,000,000	59,003,384	100,833,145
981	9/17/1982	Inchon	46,000,000	4,408,636	4,408,636
982	3/21/1997	Liar Liar	45,000,000	181,410,615	302,710,615
983	11/20/1998	A Bug's Life	45,000,000	162,798,565	363,095,319
984	10/5/2012	Taken 2	45,000,000	139,854,287	377,807,404
985	5/27/1994	The Flintstones	45,000,000	130,531,208	358,500,000
986	10/24/2003	Scary Movie 3	45,000,000	110,000,082	155,200,000
987	12/22/2000	Miss Congeniality	45,000,000	106,807,667	213,420,951
988	7/11/2008	Journey to the Center of the Earth	45,000,000	101,704,370	240,904,370
989	12/17/1993	The Pelican Brief	45,000,000	100,768,056	187,995,859
990	8/11/2004	The Princess Diaries 2: Royal Engagement	45,000,000	95,149,435	122,071,435
991	12/25/2007	The Bucket List	45,000,000	93,466,502	174,310,293
992	7/20/1994	The Client	45,000,000	92,115,211	117,615,211
993	11/23/2011	The Muppets	45,000,000	88,625,922	160,971,922
994	6/5/1992	Patriot Games	45,000,000	83,287,363	178,100,000
995	5/13/2005	Monster-in-Law	45,000,000	82,931,301	155,931,301
996	10/5/2001	Training Day	45,000,000	76,261,036	104,505,362
997	12/24/1999	Galaxy Quest	45,000,000	71,423,726	90,523,726
998	7/4/2001	Scary Movie 2	45,000,000	71,277,420	141,189,101
999	8/21/1998	Blade	45,000,000	70,141,876	131,237,688
1000	1/14/2005	Coach Carter	45,000,000	67,264,877	76,669,806
1001	3/19/2010	The Bounty Hunter	45,000,000	67,061,228	134,279,918
1002	4/12/2002	Changing Lanes	45,000,000	66,790,248	66,790,248
1003	4/11/1997	Anaconda	45,000,000	65,598,907	136,998,907
1004	1/20/2006	Underworld: Evolution	45,000,000	62,318,875	111,318,875
1005	8/4/2000	Coyote Ugly	45,000,000	60,786,269	115,786,269
1006	11/7/2003	Love Actually	45,000,000	59,472,278	247,967,903
1007	8/9/1996	Jack	45,000,000	58,617,334	58,617,334
1008	10/7/1994	The Specialist	45,000,000	57,362,581	57,362,581
1009	8/16/1996	Tin Cup	45,000,000	53,854,588	75,854,588
1010	11/23/2005	Yours, Mine and Ours	45,000,000	53,359,917	72,359,917
1011	5/13/2005	Kicking and Screaming	45,000,000	52,842,724	55,842,724
1012	4/29/2005	The Hitchhiker's Guide to the Galaxy	45,000,000	51,019,112	104,019,112
1013	9/21/2007	Resident Evil: Extinction	45,000,000	50,648,679	146,162,920
1014	12/25/2004	Fat Albert	45,000,000	48,114,556	48,563,556
1015	7/6/2012	Savages	45,000,000	47,323,100	79,021,256
1016	9/30/1994	The River Wild	45,000,000	46,815,000	94,215,000
1017	5/23/2014	Blended	45,000,000	45,980,297	117,980,297
1018	1/13/2006	Last Holiday	45,000,000	38,399,961	43,343,247
1019	3/3/2006	16 Blocks	45,000,000	36,895,141	65,595,141
1020	7/14/1995	The Indian in the Cupboard	45,000,000	35,627,222	35,627,222
1021	9/10/2004	Cellular	45,000,000	32,003,620	61,475,984
1022	7/28/2006	The Ant Bully	45,000,000	28,142,535	49,610,898
1023	7/18/2003	Johnny English	45,000,000	28,013,509	163,126,676
1024	12/14/1984	Dune	45,000,000	27,447,471	27,447,471
1025	7/31/2009	Aliens in the Attic	45,000,000	25,200,412	59,551,283
1026	9/14/2007	Across the Universe	45,000,000	24,343,673	29,367,143
1027	12/26/2008	Revolutionary Road	45,000,000	22,911,480	79,564,960
1028	8/29/2008	Babylon A.D.	45,000,000	22,532,572	70,216,497
1029	11/4/1994	Frankenstein	45,000,000	22,006,296	112,006,296
1030	10/4/1996	The Glimmer Man	45,000,000	20,404,841	36,404,841
1031	7/17/1996	Multiplicity	45,000,000	20,133,326	20,133,326
1032	1/19/2001	The Pledge	45,000,000	19,719,930	29,406,132
1033	12/16/2005	The Producers: The Movie Musical	45,000,000	19,398,532	32,952,995
1034	6/7/1996	The Phantom	45,000,000	17,220,599	17,220,599
1035	7/1/2005	Rebound	45,000,000	16,809,014	17,492,014
1036	2/19/2010	The Ghost Writer	45,000,000	15,541,549	65,532,491
1037	12/22/2000	All the Pretty Horses	45,000,000	15,527,125	18,120,267
1038	9/5/2008	Bangkok Dangerous	45,000,000	15,298,133	46,598,133
1039	12/20/1995	Nixon	45,000,000	13,668,249	34,668,249
1040	9/21/2012	Dredd	45,000,000	13,414,714	40,868,994
1041	1/30/1998	Deep Rising	45,000,000	11,203,026	11,203,026
1042	10/21/2011	Johnny English Reborn	45,000,000	8,305,970	164,539,660
1043	9/26/2008	Miracle at St. Anna	45,000,000	7,916,887	9,110,458
1044	4/5/2002	Big Trouble	45,000,000	7,262,288	8,488,871
1045	12/21/2006	Man cheng jin dai huang jin jia	45,000,000	6,566,773	75,566,773
1046	11/16/2007	Love in the Time of Cholera	45,000,000	4,617,608	31,077,418
1047	12/25/2002	Pinocchio	45,000,000	3,681,811	31,681,811
1048	1/31/1997	Shadow Conspiracy	45,000,000	2,154,540	2,154,540
1049	10/12/2012	Argo	44,500,000	136,025,503	221,300,694
1050	8/6/1993	The Fugitive	44,000,000	183,875,760	353,715,317
1051	5/22/1985	Rambo: First Blood Part II	44,000,000	150,415,432	300,400,000
1052	10/18/1996	Sleepers	44,000,000	53,300,852	165,600,852
1053	7/30/2010	Charlie St. Cloud	44,000,000	31,206,263	48,478,084
1054	2/2/1996	The Juror	44,000,000	22,730,924	22,730,924
1055	11/19/1980	Heaven's Gate	44,000,000	3,484,331	3,484,331
1056	6/28/2013	The Heat	43,000,000	159,581,587	230,781,587
1057	12/19/2000	Finding Forrester	43,000,000	51,768,623	80,013,623
1058	4/14/2000	28 Days	43,000,000	37,035,515	62,063,972
1059	5/13/2005	Danny the Dog	43,000,000	24,537,621	49,037,621
1060	4/12/2002	The Sweetest Thing	43,000,000	24,430,272	44,633,441
1061	1/28/2011	The Mechanic	42,500,000	29,121,498	76,347,393
1062	6/30/1993	The Firm	42,000,000	158,340,892	270,340,892
1063	3/16/2012	21 Jump Street	42,000,000	138,447,667	201,938,263
1064	5/28/1999	Notting Hill	42,000,000	116,089,678	363,728,226
1065	6/21/2000	Chicken Run	42,000,000	106,793,915	227,793,915
1066	1/16/2004	Along Came Polly	42,000,000	88,073,507	173,044,410
1067	7/1/1992	Boomerang	42,000,000	70,052,444	131,052,444
1068	7/10/2009	Brüno	42,000,000	60,054,530	130,788,243
1069	6/12/1963	Cleopatra	42,000,000	57,000,000	71,000,000
1070	10/12/2012	Here Comes the Boom	42,000,000	45,290,318	73,239,258
1071	4/5/2002	High Crimes	42,000,000	41,543,207	63,781,100
1072	11/15/1996	The Mirror Has Two Faces	42,000,000	41,267,469	41,267,469
1073	3/11/2011	Red Riding Hood	42,000,000	37,662,162	90,300,442
1074	1/25/2002	The Mothman Prophecies	42,000,000	35,228,696	56,438,555
1075	7/14/1989	License to Kill	42,000,000	34,667,015	156,167,015
1076	1/27/2012	One for the Money	42,000,000	26,414,527	36,197,221
1077	3/9/2001	15 Minutes	42,000,000	24,375,436	56,331,864
1078	9/16/2005	Lord of War	42,000,000	24,149,632	62,142,629
1079	5/28/1993	Super Mario Bros.	42,000,000	20,844,907	20,844,907
1080	10/2/1992	Hero	42,000,000	19,487,173	66,787,173
1081	1/27/2012	Man on a Ledge	42,000,000	18,620,000	45,688,337
1082	12/3/2010	The Warrior's Way	42,000,000	5,666,340	8,514,325
1083	4/18/1997	McHale's Navy	42,000,000	4,408,420	4,408,420
1084	5/28/2010	Micmacs	42,000,000	1,259,693	11,756,922
1085	12/31/2006	Les Bronzés 3: amis pour la vie	42,000,000	0	83,833,602
1086	11/8/2002	8 Mile	41,000,000	116,724,075	242,924,075
1087	5/11/2001	A Knight's Tale	41,000,000	56,083,966	100,622,586
1088	8/22/2003	The Medallion	41,000,000	22,108,977	22,108,977
1089	10/14/2011	The Big Year	41,000,000	7,204,138	7,204,138
1090	8/6/1999	The Sixth Sense	40,000,000	293,506,292	672,806,292
1091	7/15/2005	The Wedding Crashers	40,000,000	209,218,368	283,218,368
1092	6/11/2010	The Karate Kid	40,000,000	176,591,618	359,091,618
1093	6/19/2009	The Proposal	40,000,000	163,958,031	314,709,717
1094	12/13/2013	American Hustle	40,000,000	150,117,807	248,961,826
1095	12/25/2003	Cheaper by the Dozen	40,000,000	138,614,544	189,714,544
1096	12/25/2013	Lone Survivor	40,000,000	125,095,601	136,195,601
1097	11/22/1989	Back to the Future Part II	40,000,000	118,450,002	332,000,000
1098	9/24/1999	Double Jeopardy	40,000,000	116,735,231	177,835,231
1099	7/25/2003	Spy Kids 3-D: Game Over	40,000,000	111,760,631	167,851,995
1100	7/24/1996	A Time to Kill	40,000,000	108,766,007	152,266,007
1101	7/1/1992	A League of Their Own	40,000,000	107,533,925	132,440,066
1102	10/1/2010	The Social Network	40,000,000	96,962,694	224,922,135
1103	4/12/2013	42	40,000,000	95,020,213	95,020,213
1104	8/7/2009	Julie & Julia	40,000,000	94,125,426	126,646,119
1105	2/6/2009	He's Just Not That Into You	40,000,000	93,953,653	178,390,243
1106	4/14/2006	Scary Movie 4	40,000,000	90,710,620	178,710,620
1107	2/4/2000	Scream 3	40,000,000	89,138,076	161,838,076
1108	5/24/1990	Back to the Future Part III	40,000,000	87,666,629	243,700,000
1109	4/25/2014	The Other Woman	40,000,000	83,899,650	195,099,650
1110	11/13/1992	Bram Stoker's Dracula	40,000,000	82,522,790	215,862,692
1111	2/17/2006	Eight Below	40,000,000	81,612,565	120,612,565
1112	12/24/1999	The Talented Mr. Ripley	40,000,000	81,292,135	128,792,135
1113	9/25/1992	The Last of the Mohicans	40,000,000	75,505,856	75,505,856
1114	10/29/2004	Ray	40,000,000	75,305,995	124,823,094
1115	4/1/2005	Sin City	40,000,000	74,103,820	158,753,820
1116	2/22/2008	Vantage Point	40,000,000	72,266,306	150,792,579
1117	3/20/2009	I Love You, Man	40,000,000	71,440,011	91,729,503
1118	11/9/2001	Shallow Hal	40,000,000	70,836,296	70,836,296
1119	12/20/1991	JFK	40,000,000	70,405,498	205,400,000
1120	1/27/2006	Big Momma's House 2	40,000,000	70,165,972	137,047,376
1121	3/2/2001	The Mexican	40,000,000	66,808,615	145,238,250
1122	8/28/2009	The Final Destination	40,000,000	66,477,700	187,384,627
1123	4/17/2009	17 Again	40,000,000	64,167,069	139,474,906
1124	2/18/2011	Unknown	40,000,000	63,686,397	136,123,083
1125	6/4/2010	Get Him to the Greek	40,000,000	61,153,526	91,455,875
1126	11/30/2001	Behind Enemy Lines	40,000,000	58,855,732	58,855,732
1127	3/18/2011	The Lincoln Lawyer	40,000,000	58,009,200	87,145,086
1128	10/15/2004	Shall We Dance?	40,000,000	57,887,882	118,097,882
1129	2/15/2013	Escape From Planet Earth	40,000,000	57,012,977	74,478,049
1130	7/10/1998	Small Soldiers	40,000,000	55,143,823	71,743,823
1131	7/31/1997	Spawn	40,000,000	54,979,992	87,949,859
1132	1/25/2002	The Count of Monte Cristo	40,000,000	54,228,104	75,389,090
1133	10/20/2006	The Prestige	40,000,000	53,089,891	107,896,006
1134	6/16/2006	The Lake House	40,000,000	52,330,111	114,830,111
1135	7/9/2010	Predators	40,000,000	52,000,688	127,234,389
1136	8/15/2012	The Odd Life of Timothy Green	40,000,000	51,853,450	52,685,425
1137	7/31/1987	The Living Daylights	40,000,000	51,185,000	191,200,000
1138	12/8/2006	Apocalypto	40,000,000	50,866,635	121,032,272
1139	2/14/2007	Music and Lyrics	40,000,000	50,572,589	145,021,477
1140	6/18/1986	Legal Eagles	40,000,000	49,851,591	49,851,591
1141	3/12/2004	Secret Window	40,000,000	47,958,031	92,111,551
1142	8/12/2005	The Skeleton Key	40,000,000	47,907,715	92,256,918
1143	6/20/2014	Jersey Boys	40,000,000	46,377,524	58,777,524
1144	5/2/2008	Made of Honor	40,000,000	46,012,734	106,548,738
1145	11/21/1997	The Rainmaker	40,000,000	45,916,769	45,916,769
1146	2/7/1992	Medicine Man	40,000,000	44,948,240	44,948,240
1147	12/12/1997	Amistad	40,000,000	44,229,441	58,267,000
1148	5/30/2014	A Million Ways to Die in The West	40,000,000	42,720,965	85,989,748
1149	8/12/2011	Final Destination 5	40,000,000	42,587,643	157,887,643
1150	4/8/2005	Fever Pitch	40,000,000	42,071,069	50,071,069
1151	4/15/2011	Scream 4	40,000,000	38,180,928	95,989,590
1152	12/21/1994	Ri¢hie Ri¢h	40,000,000	38,087,756	38,087,756
1153	8/11/2000	Autumn in New York	40,000,000	37,752,931	90,717,684
1154	3/18/2011	Paul	40,000,000	37,412,945	100,179,814
1155	12/19/2012	The Guilt Trip	40,000,000	37,134,215	37,134,215
1156	8/26/2011	Colombiana	40,000,000	36,665,854	71,698,079
1157	2/26/1999	8MM	40,000,000	36,443,442	96,398,826
1158	2/18/2000	Hanging Up	40,000,000	36,037,909	51,867,723
1159	7/18/2014	Sex Tape	40,000,000	35,782,698	53,512,524
1160	3/1/1991	The Doors	40,000,000	34,416,893	34,416,893
1161	8/20/1999	Mickey Blue Eyes	40,000,000	33,864,342	53,864,342
1162	10/20/2000	Pay it Forward	40,000,000	33,508,922	33,508,922
1163	4/8/2011	Arthur	40,000,000	33,035,397	47,787,943
1164	3/21/2008	Drillbit Taylor	40,000,000	32,862,104	49,686,263
1165	7/1/1994	The Shadow	40,000,000	31,835,600	31,835,600
1166	11/10/2010	Morning Glory	40,000,000	31,011,732	60,040,974
1167	11/9/2005	Get Rich or Die Tryin'	40,000,000	30,981,850	46,437,122
1168	8/25/2000	The Art of War	40,000,000	30,199,105	30,199,105
1169	12/25/2013	Grudge Match	40,000,000	29,807,260	69,807,260
1170	8/11/2000	Bless the Child	40,000,000	29,374,178	40,435,694
1171	11/23/2005	Rent	40,000,000	29,077,547	31,670,620
1172	4/2/1999	The Out-of-Towners	40,000,000	28,544,120	28,544,120
1173	8/23/1996	The Island of Dr. Moreau	40,000,000	27,682,712	27,682,712
1174	9/7/2001	The Musketeer	40,000,000	27,053,815	27,053,815
1175	2/29/2008	The Other Boleyn Girl	40,000,000	26,814,957	77,714,957
1176	2/16/2001	Sweet November	40,000,000	25,288,103	65,754,228
1177	4/5/2007	The Reaping	40,000,000	25,126,214	62,226,214
1178	1/7/2011	Season of the Witch	40,000,000	24,827,228	96,502,347
1179	6/3/1994	Renaissance Man	40,000,000	24,172,899	24,172,899
1180	5/15/1998	Quest for Camelot	40,000,000	22,772,500	38,172,500
1181	9/6/2002	City by the Sea	40,000,000	22,433,915	22,433,915
1182	1/15/1999	At First Sight	40,000,000	22,365,133	22,365,133
1183	1/16/2004	Torque	40,000,000	21,176,322	46,176,322
1184	11/13/2009	The Fantastic Mr. Fox	40,000,000	21,002,919	46,498,922
1185	9/22/1995	Showgirls	40,000,000	20,350,754	37,750,754
1186	2/16/1996	City Hall	40,000,000	20,278,055	20,278,055
1187	12/21/2012	The Impossible	40,000,000	19,019,882	169,590,606
1188	3/9/2012	A Thousand Words	40,000,000	18,450,127	18,450,127
1189	10/20/2006	Marie Antoinette	40,000,000	15,962,471	60,862,471
1190	10/6/2000	Get Carter	40,000,000	14,967,182	19,417,182
1191	4/21/1995	Kiss of Death	40,000,000	14,942,422	14,942,422
1192	4/26/2002	Life, or Something Like It	40,000,000	14,448,589	14,448,589
1193	5/15/1987	Ishtar	40,000,000	14,375,181	14,375,181
1194	2/28/1992	Memoirs of an Invisible Man	40,000,000	14,358,033	14,358,033
1195	10/23/2009	Amelia	40,000,000	14,279,575	19,756,077
1196	10/23/2009	Cirque du Freak: The Vampire's Assistant	40,000,000	14,046,595	34,372,469
1197	5/7/2004	New York Minute	40,000,000	14,018,364	21,215,882
1198	3/12/1999	The Deep End of the Ocean	40,000,000	13,508,635	13,508,635
1199	11/5/2004	Alfie	40,000,000	13,395,939	35,195,939
1200	8/30/2002	FearDotCom	40,000,000	13,208,023	13,208,023
1201	11/7/2008	Soul Men	40,000,000	12,082,391	12,345,883
1202	8/20/1999	Universal Soldier II: The Return	40,000,000	10,447,421	10,717,421
1203	9/25/2009	Pandorum	40,000,000	10,330,853	17,033,431
1204	9/26/2003	Duplex	40,000,000	9,652,000	10,070,651
1205	8/16/2013	Paranoia	40,000,000	7,388,654	16,173,593
1206	8/1/1980	Raise the Titanic	40,000,000	7,000,000	7,000,000
1207	1/4/2002	Impostor	40,000,000	6,114,237	6,114,237
1208	11/27/2002	Extreme Ops	40,000,000	4,835,968	12,624,471
1209	4/6/2001	Just Visiting	40,000,000	4,777,007	16,172,200
1210	7/20/2007	Sunshine	40,000,000	3,688,560	32,030,610
1211	3/11/1994	The Hudsucker Proxy	40,000,000	2,816,518	14,938,149
1212	7/1/1986	Pirates	40,000,000	1,641,825	6,341,825
1213	12/12/2008	Delgo	40,000,000	915,840	915,840
1214	10/13/2006	Alex Rider: Operation Stormbreaker	40,000,000	659,210	9,351,567
1215	11/20/2009	Red Cliff	40,000,000	627,047	119,627,047
1216	9/24/2004	The Last Shot	40,000,000	463,730	463,730
1217	4/2/2010	The Warlords	40,000,000	129,078	38,899,792
1218	3/16/2007	Nomad	40,000,000	79,123	79,123
1219	8/14/2009	The Time Traveler's Wife	39,000,000	63,414,846	98,666,635
1220	6/17/1983	Superman III	39,000,000	59,950,623	59,950,623
1221	10/5/2012	Frankenweenie	39,000,000	35,287,788	81,150,788
1222	3/29/1996	Sgt. Bilko	39,000,000	30,356,589	37,956,589
1223	9/30/2005	Serenity	39,000,000	25,514,517	38,514,517
1224	2/20/2004	Against the Ropes	39,000,000	5,881,504	6,429,865
1225	1/8/2013	Yi dai zong shi	38,600,000	6,594,959	57,987,299
1226	6/22/2001	The Fast and the Furious	38,000,000	144,512,310	206,512,310
1227	9/27/2002	Sweet Home Alabama	38,000,000	127,214,072	182,365,114
1228	7/24/2009	The Ugly Truth	38,000,000	88,915,214	205,230,042
1229	8/7/2002	Spy Kids 2: The Island of Lost Dreams	38,000,000	85,846,296	119,721,296
1230	11/18/1994	Star Trek: Generations	38,000,000	75,671,262	120,000,000
1231	12/19/1997	Mouse Hunt	38,000,000	61,894,591	61,894,591
1232	4/22/2011	Water for Elephants	38,000,000	58,709,717	116,809,717
1233	10/8/2010	Life as We Know It	38,000,000	53,374,681	105,887,837
1234	12/29/1999	The Hurricane	38,000,000	50,699,241	73,956,241
1235	9/6/2013	Riddick	38,000,000	42,025,135	92,425,135
1236	3/23/2001	Heartbreakers	38,000,000	40,334,024	57,753,825
1237	5/24/2002	Enough	38,000,000	39,177,215	39,177,215
1238	2/6/2009	Push	38,000,000	31,811,527	44,411,527
1239	9/20/2013	Rush	38,000,000	26,947,624	95,224,595
1240	5/18/2001	Angel Eyes	38,000,000	24,044,532	29,544,532
1241	12/21/2001	Joe Somebody	38,000,000	22,770,864	24,515,990
1242	3/10/2000	The Ninth Gate	38,000,000	18,653,746	58,394,308
1243	9/27/1996	Extreme Measures	38,000,000	17,378,193	17,378,193
1244	9/7/2001	Rock Star	38,000,000	16,991,902	19,317,765
1245	10/14/2011	The Thing	38,000,000	16,928,670	27,251,780
1246	2/2/1996	White Squall	38,000,000	10,229,300	10,229,300
1247	10/10/2008	City of Ember	38,000,000	7,871,693	11,817,059
1248	10/31/1997	Switchback	38,000,000	6,504,442	6,504,442
1249	11/30/2001	Texas Rangers	38,000,000	623,374	623,374
1250	8/26/2008	Virgin Territory	38,000,000	0	5,473,041
1251	5/18/2012	What to Expect When You're Expecting	37,500,000	41,152,203	80,652,203
1252	9/14/2012	The Master	37,500,000	16,247,159	25,116,740
1253	10/4/2008	The Express	37,500,000	9,793,406	9,808,102
1254	11/21/2008	Twilight	37,000,000	192,769,854	397,923,934
1255	8/7/2013	We're the Millers	37,000,000	150,394,119	270,000,119
1256	9/17/2010	The Town	37,000,000	92,186,262	152,566,881
1257	9/23/2011	Dolphin Tale	37,000,000	72,286,779	96,068,724
1258	9/12/2008	Burn After Reading	37,000,000	60,355,347	163,415,735
1259	4/4/2008	Nim's Island	37,000,000	48,006,762	94,081,683
1260	2/26/2010	Cop Out	37,000,000	44,875,481	55,909,910
1261	1/28/2011	The Rite	37,000,000	33,047,633	96,047,633
1262	7/18/2008	Space Chimps	37,000,000	30,105,968	67,029,956
1263	12/17/1999	Magnolia	37,000,000	22,450,975	48,446,802
1264	12/31/2009	Obitaemyy ostrov	36,500,000	0	15,000,000
1265	2/11/2011	Gnomeo and Juliet	36,000,000	99,967,670	193,737,977
1266	2/15/2002	John Q	36,000,000	71,026,631	102,226,631
1267	9/17/1999	Blue Streak	36,000,000	68,208,190	117,448,157
1268	10/7/1983	Never Say Never Again	36,000,000	55,500,000	160,000,000
1269	3/26/2010	Hot Tub Time Machine	36,000,000	50,269,859	63,209,958
1270	5/2/1997	Breakdown	36,000,000	50,159,144	50,159,144
1271	2/25/2011	Hall Pass	36,000,000	45,060,734	83,693,266
1272	4/4/2003	A Man Apart	36,000,000	26,500,000	43,797,731
1273	2/25/2000	Reindeer Games	36,000,000	23,360,779	23,360,779
1274	12/24/1999	Snow Falling on Cedars	36,000,000	14,378,353	14,378,353
1275	12/20/1996	Ghosts of Mississippi	36,000,000	13,052,741	13,052,741
1276	10/24/1997	Gattaca	36,000,000	12,532,777	12,532,777
1277	1/28/2000	Isn't She Great	36,000,000	2,954,405	2,954,405
1278	5/6/2011	There Be Dragons	36,000,000	1,069,334	4,020,990
1279	3/28/2003	Head of State	35,200,000	37,788,228	38,283,765
1280	6/5/2009	The Hangover	35,000,000	277,322,503	469,553,471
1281	11/20/2009	The Blind Side	35,000,000	255,959,475	305,705,795
1282	6/23/1989	Batman	35,000,000	251,188,924	411,348,924
1283	6/10/1999	Austin Powers: The Spy Who Shagged Me	35,000,000	206,040,085	310,332,636
1284	12/22/2010	True Grit	35,000,000	171,243,005	252,276,928
1285	5/15/1992	Lethal Weapon 3	35,000,000	144,731,527	319,700,000
1286	9/18/1998	Rush Hour	35,000,000	141,186,864	245,300,000
1287	2/8/2013	Identity Thief	35,000,000	134,506,920	176,272,841
1288	6/30/2006	The Devil Wears Prada	35,000,000	124,740,460	326,551,094
1289	7/8/2011	Horrible Bosses	35,000,000	117,538,559	214,538,559
1290	3/30/2001	Spy Kids	35,000,000	112,692,062	197,692,062
1291	12/13/2013	Saving Mr. Banks	35,000,000	83,299,761	101,199,761
1292	12/7/1979	Star Trek: The Motion Picture	35,000,000	82,258,456	139,000,000
1293	3/21/2008	21	35,000,000	81,159,365	157,852,532
1294	5/3/2008	What Happens in Vegas...	35,000,000	80,277,646	218,535,708
1295	11/15/1991	Cape Fear	35,000,000	79,091,969	182,291,969
1296	11/15/1996	The English Patient	35,000,000	78,716,374	231,716,374
1297	3/25/2005	Guess Who	35,000,000	68,915,888	102,115,888
1298	12/21/2012	This is 40	35,000,000	67,544,505	90,221,182
1299	9/19/1997	L.A. Confidential	35,000,000	64,604,977	110,604,977
1300	7/29/2005	Sky High	35,000,000	63,939,454	81,627,454
1301	9/19/1997	In & Out	35,000,000	63,826,569	83,226,569
1302	4/30/2010	A Nightmare on Elm Street	35,000,000	63,075,011	117,729,621
1303	8/18/2000	The Cell	35,000,000	61,280,963	85,911,226
1304	7/7/1995	Species	35,000,000	60,054,449	113,354,449
1305	4/7/2006	The Benchwarmers	35,000,000	59,843,754	65,063,726
1306	10/8/2010	Secretariat	35,000,000	59,699,513	60,376,247
1307	3/13/1998	The Man in the Iron Mask	35,000,000	56,968,169	56,968,169
1308	7/22/2011	Friends with Benefits	35,000,000	55,802,754	150,483,765
1309	3/23/2007	TMNT	35,000,000	54,149,098	96,096,018
1310	10/24/2003	Radio	35,000,000	52,333,738	53,293,628
1311	11/25/2009	Old Dogs	35,000,000	49,492,060	95,104,304
1312	11/18/1992	Malcolm X	35,000,000	48,169,910	48,169,910
1313	1/23/2009	Underworld 3: Rise of the Lycans	35,000,000	45,802,315	89,102,315
1314	7/29/2005	Must Love Dogs	35,000,000	43,894,863	58,894,863
1315	7/3/2007	License to Wed	35,000,000	43,799,818	70,187,088
1316	2/28/1997	Donnie Brasco	35,000,000	41,954,997	65,303,052
1317	10/17/2008	Max Payne	35,000,000	40,687,294	85,761,789
1318	3/15/2002	Resident Evil	35,000,000	40,119,709	103,787,401
1319	3/26/2004	The Ladykillers	35,000,000	39,692,139	77,392,139
1320	5/6/2011	Something Borrowed	35,000,000	39,046,489	65,084,116
1321	12/1/2006	The Nativity Story	35,000,000	37,629,831	46,432,264
1322	10/28/2011	In Time	35,000,000	37,553,932	170,064,664
1323	4/23/2010	The Back-up Plan	35,000,000	37,490,007	75,281,179
1324	11/9/2011	J. Edgar	35,000,000	37,306,030	79,006,030
1325	11/17/2000	Bounce	35,000,000	36,805,288	53,425,292
1326	12/3/2004	Closer	35,000,000	33,987,757	115,476,509
1327	12/23/1994	Street Fighter	35,000,000	33,423,000	99,423,000
1328	11/21/2001	Black Knight	35,000,000	33,422,806	33,422,806
1329	7/22/2005	The Bad News Bears	35,000,000	32,868,349	33,500,620
1330	12/27/2002	The Pianist	35,000,000	32,519,322	120,000,000
1331	5/6/2005	House of Wax	35,000,000	32,064,800	70,064,800
1332	10/19/2001	From Hell	35,000,000	31,598,308	68,712,365
1333	8/15/2008	Mirrors	35,000,000	30,691,439	77,220,596
1334	2/22/2002	Queen of the Damned	35,000,000	30,307,804	30,307,804
1335	8/20/2010	Nanny McPhee and the Big Bang	35,000,000	29,197,642	97,799,865
1336	1/25/2008	Untraceable	35,000,000	28,687,835	52,649,951
1337	11/21/1990	Predator 2	35,000,000	28,317,513	54,768,418
1338	9/23/2011	Abduction	35,000,000	28,087,155	86,648,359
1339	12/5/1980	Flash Gordon	35,000,000	27,107,960	27,107,960
1340	3/28/2008	Superhero Movie	35,000,000	26,638,520	73,026,302
1341	2/12/1999	Blast from the Past	35,000,000	26,613,620	26,613,620
1342	10/19/2012	Alex Cross	35,000,000	25,888,412	32,785,147
1343	3/26/2004	Jersey Girl	35,000,000	25,266,129	37,066,129
1344	11/21/1997	Midnight in the Garden of Good and Evil	35,000,000	25,078,937	25,078,937
1345	11/9/2001	Heist	35,000,000	23,483,357	28,906,817
1346	4/9/2004	Ella Enchanted	35,000,000	22,913,677	22,913,677
